Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2019-01-30,2076.0,2076.0,2028.0,2032.55,2035.1,130023.0,6290.0,264609345.0,73454.0,56.49,48.0,-43.45
2019-01-29,2084.0,2084.0,2053.8,2058.1,2066.77,137653.0,5124.0,284497402.0,69072.0,50.18,30.2,-25.9
2019-01-28,2099.0,2100.9,2077.25,2083.55,2094.87,715721.0,4830.0,1499339230.0,44141.0,6.17,23.65,-15.45
2019-01-25,2103.9,2109.75,2090.1,2093.95,2102.28,115668.0,4480.0,243166307.0,54090.0,46.76,19.65,-9.95
2019-01-24,2112.0,2121.65,2097.0,2101.9,2110.33,131158.0,6546.0,276786250.0,70850.0,54.02,24.65,-10.1
2019-01-23,2136.1,2150.05,2102.4,2109.75,2125.76,79321.0,3032.0,168617023.0,38098.0,48.03,47.65,-26.35
2019-01-22,2173.0,2173.0,2130.0,2134.35,2137.25,64467.0,2511.0,137781832.0,24188.0,37.52,43.0,-38.65
2019-01-21,2149.0,2165.0,2125.55,2146.55,2149.92,180432.0,6386.0,387914921.0,41972.0,23.26,39.45,-2.45
2019-01-18,2126.0,2139.75,2115.0,2131.2,2129.78,50299.0,1618.0,107125971.0,15116.0,30.05,24.75,5.2
2019-01-17,2121.0,2134.85,2114.0,2129.05,2122.31,172746.0,1989.0,366620442.0,143092.0,82.83,20.85,8.05
2019-01-16,2120.0,2124.0,2108.9,2120.0,2119.99,2892853.0,2428.0,6132817511.0,2854400.0,98.67,15.1,0.0
2019-01-15,2105.0,2126.0,2100.05,2121.05,2119.21,65660.0,1982.0,139147105.0,24670.0,37.57,25.95,16.05
2019-01-14,2114.55,2114.55,2097.0,2100.85,2102.65,27271.0,1814.0,57341341.0,12918.0,47.37,17.55,-13.7
2019-01-11,2114.0,2124.0,2107.0,2112.15,2115.46,45199.0,1921.0,95616715.0,13222.0,29.25,17.0,-1.85
2019-01-10,2116.0,2123.15,2103.5,2109.55,2113.69,57866.0,1884.0,122310862.0,22315.0,38.56,19.65,-6.45
2019-01-09,2120.0,2123.0,2103.0,2116.2,2112.4,46406.0,1769.0,98028015.0,22291.0,48.03,20.0,-3.8
2019-01-08,2125.0,2128.0,2097.6,2102.85,2105.85,107933.0,3598.0,227290430.0,63543.0,58.87,30.4,-22.15
2019-01-07,2125.05,2134.0,2114.2,2120.0,2127.18,57516.0,1920.0,122346724.0,17610.0,30.62,19.8,-5.05
2019-01-04,2111.15,2127.0,2111.15,2117.75,2120.16,75603.0,2286.0,160290721.0,15878.0,21.0,15.85,6.6
2019-01-03,2126.0,2126.8,2105.9,2112.25,2113.29,109198.0,2883.0,230767222.0,69478.0,63.63,20.9,-13.75
2019-01-02,2145.0,2147.95,2120.1,2125.95,2131.34,92891.0,2946.0,197981995.0,29543.0,31.8,27.85,-19.05
2019-01-01,2123.0,2150.0,2107.0,2147.45,2125.36,125895.0,2433.0,267572518.0,81595.0,64.81,43.0,24.45
2018-12-31,2137.0,2142.0,2117.0,2122.45,2124.33,55832.0,2837.0,118605647.0,29186.0,52.27,25.0,-14.55
2018-12-28,2114.1,2137.0,2114.1,2122.9,2125.35,57336.0,2367.0,121859060.0,17234.0,30.06,22.9,8.8
2018-12-27,2139.8,2139.8,2101.3,2106.1,2117.4,86110.0,3283.0,182329672.0,22829.0,26.51,38.5,-33.7
2018-12-26,2084.9,2128.0,2070.6,2120.2,2099.22,102242.0,4242.0,214628734.0,23242.0,22.73,57.4,35.3
2018-12-24,2110.0,2110.0,2079.1,2084.05,2088.96,61679.0,2323.0,128845101.0,13827.0,22.42,30.9,-25.95
2018-12-21,2134.0,2149.0,2108.0,2111.5,2125.44,106387.0,3994.0,226118978.0,38551.0,36.24,41.0,-22.5
2018-12-20,2118.0,2137.95,2102.75,2133.95,2120.72,52599.0,2420.0,111547832.0,12504.0,23.77,35.2,15.95
2018-12-19,2139.0,2158.15,2114.4,2122.65,2130.09,78084.0,3828.0,166325952.0,32231.0,41.28,43.75,-16.35
2018-12-18,2129.0,2140.0,2103.0,2136.45,2121.86,77003.0,3100.0,163389299.0,27789.0,36.09,37.0,7.45
2018-12-17,2109.0,2133.35,2099.2,2130.45,2122.47,101830.0,3485.0,216131442.0,46966.0,46.12,34.15,21.45
2018-12-14,2111.7,2117.65,2087.0,2093.75,2096.98,66283.0,2087.0,138994328.0,13395.0,20.21,30.65,-17.95
2018-12-13,2090.0,2123.9,2090.0,2101.05,2105.44,59325.0,2501.0,124905339.0,14140.0,23.83,33.9,11.05
2018-12-12,2065.0,2090.0,2060.3,2085.35,2078.75,50181.0,1772.0,104313920.0,14242.0,28.38,29.7,20.35
2018-12-11,2060.0,2070.7,2032.15,2060.8,2051.08,155312.0,9562.0,318558009.0,59779.0,38.49,38.55,0.8
2018-12-10,2070.0,2103.7,2069.1,2089.15,2087.55,91365.0,5730.0,190728802.0,42046.0,46.02,34.6,19.15
2018-12-07,2100.0,2116.9,2081.0,2105.65,2099.61,79538.0,3024.0,166998992.0,28867.0,36.29,35.9,5.65
2018-12-06,2086.0,2099.95,2085.0,2094.1,2092.29,72795.0,4188.0,152308090.0,35369.0,48.59,14.95,8.1
2018-12-05,2081.75,2107.0,2076.2,2099.45,2096.34,169154.0,5457.0,354604305.0,45065.0,26.64,30.8,17.7
2018-12-04,2114.0,2114.0,2082.0,2088.75,2089.2,46302.0,2086.0,96734219.0,13682.0,29.55,32.0,-25.25
2018-12-03,2122.25,2140.7,2107.3,2113.45,2125.18,557291.0,2640.0,1184342324.0,304661.0,54.67,33.4,-8.8
2018-11-30,2135.0,2136.95,2111.05,2117.15,2118.58,221945.0,2589.0,470209240.0,170000.0,76.6,25.9,-17.85
2018-11-29,2097.0,2137.5,2096.0,2130.0,2121.4,917165.0,4671.0,1945671775.0,831971.0,90.71,41.5,33.0
2018-11-28,2067.6,2097.1,2063.0,2084.65,2084.63,63839.0,2503.0,133081009.0,23784.0,37.26,34.1,17.05
2018-11-27,2041.0,2064.0,2040.85,2058.95,2050.43,268680.0,3786.0,550909591.0,228722.0,85.13,23.15,17.95
2018-11-26,2017.0,2053.0,2009.95,2049.5,2036.42,385200.0,3551.0,784429318.0,332776.0,86.39,43.05,32.5
2018-11-22,2013.0,2034.9,2000.25,2005.45,2020.23,96622.0,3265.0,195199125.0,40605.0,42.02,34.65,-7.55
2018-11-21,2020.0,2023.9,2001.0,2019.55,2016.06,39968.0,1377.0,80577819.0,13436.0,33.62,22.9,-0.45
2018-11-20,2019.7,2019.7,2000.0,2015.25,2012.1,40888.0,1699.0,82270933.0,11072.0,27.08,19.7,-4.45
2018-11-19,2010.0,2020.0,2003.65,2014.0,2013.96,90612.0,3920.0,182489122.0,39006.0,43.05,16.35,4.0
2018-11-16,1982.9,2010.0,1980.0,1998.9,1999.81,99470.0,4135.0,198921571.0,31183.0,31.35,30.0,16.0
2018-11-15,1970.0,1976.0,1958.45,1974.05,1970.52,85802.0,3363.0,169074552.0,37840.0,44.1,17.55,4.05
2018-11-14,1939.75,1963.65,1936.0,1958.45,1948.48,90685.0,3516.0,176698070.0,48509.0,53.49,27.65,18.7
2018-11-13,1939.7,1939.7,1910.3,1929.2,1920.85,213199.0,2810.0,409522832.0,171473.0,80.43,29.4,-10.5
2018-11-12,1950.0,1961.2,1919.55,1923.35,1935.35,47575.0,2415.0,92074199.0,18608.0,39.11,41.65,-26.65
2018-11-09,1958.0,1959.0,1940.0,1949.65,1949.49,45812.0,1929.0,89310016.0,17862.0,38.99,19.0,-8.35
2018-11-07,1960.0,1964.4,1954.0,1958.45,1958.16,21714.0,1291.0,42519587.0,13295.0,61.23,10.4,-1.55
2018-11-06,1957.0,1976.0,1947.0,1950.95,1962.12,81771.0,2883.0,160444470.0,22818.0,27.9,29.0,-6.05
2018-11-05,1955.0,1958.9,1937.15,1952.85,1950.74,94006.0,3091.0,183381459.0,21557.0,22.93,21.75,-2.15
2018-11-02,1925.0,1960.0,1912.25,1946.9,1938.8,1837102.0,7540.0,3561777597.0,1708191.0,92.98,47.75,21.9
2018-11-01,1925.0,1929.95,1896.8,1911.2,1912.63,227747.0,6495.0,435596253.0,153535.0,67.41,33.15,-13.8
2018-10-31,1906.1,1916.65,1884.4,1911.85,1896.22,2874023.0,11401.0,5449781369.0,2671518.0,92.95,32.25,5.75
2018-10-30,1929.0,1930.55,1899.25,1913.9,1916.81,413566.0,6021.0,792727158.0,323926.0,78.33,31.3,-15.1
2018-10-29,1963.0,1963.1,1895.25,1924.0,1913.88,251540.0,8181.0,481416132.0,106423.0,42.31,67.85,-39.0
2018-10-26,1977.0,1977.25,1948.4,1962.25,1961.97,100646.0,4005.0,197464239.0,46456.0,46.16,28.85,-14.75
2018-10-25,1987.0,2003.25,1962.3,1969.55,1973.61,89154.0,2676.0,175954956.0,36592.0,41.04,40.95,-17.45
2018-10-24,2001.0,2006.0,1973.55,1991.0,1987.77,82268.0,2706.0,163529709.0,32038.0,38.94,32.45,-10.0
2018-10-23,1988.0,1998.0,1974.15,1985.0,1987.78,47357.0,2533.0,94135353.0,17306.0,36.54,23.85,-3.0
2018-10-22,2005.3,2020.45,1988.0,1993.0,1998.78,138169.0,5657.0,276168813.0,50265.0,36.38,32.45,-12.3
